id,lat,long,demand(kg),stage
ChIJwTC7A55ZwokRPNX9g7ngbaI,40.7308365,-73.9831938,21,1
ChIJU1XImaNZwokRutunetC8XeE,40.7404541,-73.9912684,33,1
ChIJG7L-TLVbwokRT36uIrwz2Mo,40.6949569,-73.98286519999999,21,1
ChIJ5cPkuBtgwokRn55JgpGqjFA,40.7575222,-73.8343525,30,1
ChIJ24V7r_31wokR-S71l2zqrwc,40.7946152,-73.93377149999999,17,1
ChIJiUJ1DI5ZwokRWdK6SPg9BOY,40.7268419,-74.0002098,15,1
ChIJYTxm0Gf2wokR5V0iFDQ-2x0,40.7988747,-73.968346,18,1
ChIJ_eQYpFdmwokR756MAH2tZPw,40.642643,-73.791282,34,1
ChIJYzaRC2REwokRaH2rHpflSYk,40.5872273,-73.9527581,16,1
ChIJ3R85DSb2wokR1XobETRMs5E,40.796989,-73.969707,25,1
ChIJ97BgiDtfwokRsbkP6Vl1seY,40.7589623,-73.9185095,19,1
ChIJT1ZEl4JYwokRXQMvGg9VMPE,40.7740367,-73.95935519999999,26,1
ChIJ7-uIlEFEwokRlbHGtjrdFtM,40.57794699999999,-73.9612556,23,1
ChIJU3IVO-tZwokRx6iWrhKQTng,40.735813,-74.007578,24,1
ChIJRR7W62BFwokRlrVks40mAdU,40.6210836,-74.0259851,23,1
ChIJnZ4lShdkwokRQUAn5mjU1pA,40.673869,-73.7355328,33,1
ChIJG9cUYg_1wokRUNpvwM84Z4M,40.809636,-73.881143,27,1
ChIJmZQsMgFbwokRMc5I7kPdQ7w,40.672026,-73.9775033,23,1
ChIJt5DcjLRFwokRyxil5Pjp3Fo,40.5812659,-73.985452,21,1
ChIJ2b9se6f1wokRUN8kWpFfzN0,40.807887,-73.8894119,28,1
ChIJzRG6yrrzwokRQ5kjG2RJCwM,40.8882471,-73.9029714,23,2
ChIJ9X0DD_FhwokRIqyyecrKeMQ,40.7490446,-73.7560801,16,2
ChIJfxyTIQ32wokRxjovn0UE72M,40.807822,-73.94509819999999,23,2
ChIJoQK_Y1hnwokRLkhjEpVsGxo,40.6832719,-73.8410617,20,2
ChIJ3eHXlHZZwokRuzME-28niVI,40.728696,-73.97882,31,2
ChIJ0zAa911ZwokRQlmIU8v4Kzs,40.7180107,-73.9591725,33,2
ChIJrTFo48j0wokREh-lN_bawU8,40.8318092,-73.851214,34,2
ChIJdTlWmaBZwokRgtKH8NPb67o,40.7387746,-73.9834743,25,2
ChIJs_YHpGdnwokRbi_NHSnDPqA,40.6728032,-73.832675,27,2
ChIJeRxpSKhfwokRD-kwzfT0mP4,40.7496231,-73.8874087,28,2
ChIJLXqvAAJdwokRSeu3qp3b1es,40.657394,-73.88891699999999,23,2
ChIJtVRN0j5FwokRJEtrXFTO3lQ,40.6242358,-74.00305689999999,19,2
ChIJm5bO7l1ZwokRHeB-QQwXAdE,40.7179538,-73.9582698,21,2
ChIJBVgKiaZYwokRmMiA0bhFd4A,40.7859379,-73.9507078,33,2
ChIJ96djgPjzwokRQU6pStHOAVc,40.8657142,-73.9272232,16,2
ChIJ7eVyaphgwokRndD8EKwA32A,40.715069,-73.8316244,18,2
ChIJq5J1rchEwokR87mdeDWoiuw,40.6244726,-73.9652773,25,2
ChIJHy0ZlqNZwokRABxBCQR_37o,40.7401079,-73.9908573,17,2
ChIJx6IGgHiMwokRNj1gBBo2i6o,40.845403,-73.7860479,33,2
ChIJIYrXpHdEwokRlW_Ep7hr84A,40.57884,-73.938232,29,2
ChIJLyC-UZRcwokRLbmwG2PXM64,40.64948589999999,-73.9159794,31,2
ChIJ2RQH-bBhwokRTxgg6q8oot0,40.7394114,-73.78546899999999,24,2
ChIJqb_48vddwokRuV6Y_VOHX6o,40.6852549,-73.843227,28,2
ChIJN4cpNB1mwokRoz2EEGXJsPM,40.6048199,-73.7545544,32,2
ChIJr4JMceFhwokRcx2Oie6Ue4w,40.7609143,-73.76652159999999,23,2
ChIJ6ZQpRmBawokR0kz4HEWfI7U,40.6779326,-74.0120579,17,2
ChIJ_QfagF9cwokR7b8aZshUano,40.6657106,-73.909943,34,2
ChIJIwENLUlawokRrzvvH06NlaE,40.6920441,-73.9909404,15,2
ChIJj-Dtqb_zwokRYlU6uDe6ya4,40.8852409,-73.9098904,18,2
ChIJrx4xHav0wokRrYIPq8VG_j8,40.851147,-73.8440221,30,2
ChIJyQ5DNwNZwokROgxq0fj06is,40.7501232,-73.9717491,19,3
ChIJVQZ5bif2wokRdOKgFt-pfL4,40.793217,-73.967496,25,3
ChIJbyTF78RgwokRfR3kofTDeuI,40.7036219,-73.8088715,21,3
ChIJHTb8J3bzwokRpm4z4c8A900,40.8729407,-73.8890983,18,3
ChIJDV5u56D2wokR9W0EfU4WvfM,40.8511086,-73.93840949999999,27,3
ChIJy-kRkohZwokRiY5fbRn0m18,40.7205284,-73.9959216,16,3
ChIJ7yTta65bwokRgniZB4JISaI,40.6830514,-73.9757927,24,3
ChIJAX-UKUlawokRv3w8InaZxjE,40.6924582,-73.99121760000001,17,3
ChIJf1Y5pQZZwokR-RLBsc-m67I,40.7487042,-73.9777932,17,3
ChIJn3PuW770wokRue-aOe6Cor0,40.8354054,-73.8614269,20,3
ChIJQT7-qZRZwokRA7oVNv2nPEY,40.733684,-74.0061116,15,3
ChIJ8WmdFrhbwokRXsxVV9UmbCc,40.6929336,-73.9700731,25,3
ChIJvUuF1NlewokRzEqqGWT2ATY,40.7441065,-73.9237985,32,3
ChIJSdjslwNhwokRMFnFYGluGKU,40.7227435,-73.7959271,23,3
ChIJwWywa4dCwokRAWd176KIs4U,40.5787765,-73.849361,16,3
ChIJa1YQ25lbwokROdvk22x6vHc,40.6814796,-73.9556293,15,3
ChIJT54-arZgwokRv0WdMDySj8A,40.698392,-73.8203146,25,3
ChIJRZqwjfVYwokRa2y8Hl6RhhI,40.7713667,-73.9824563,28,3
ChIJ8RCw-RFgwokR2k9ClCEnhj8,40.7580217,-73.8296362,24,3
ChIJB-hBRYr0wokRYXREBztnZ-o,40.8431519,-73.8868196,32,3
ChIJjaUo2N31wokRp-65go_gGB4,40.8086359,-73.92996409999999,19,3
ChIJ5U9z5vtewokRFIyf1h7Pzcc,40.7367347,-73.8956129,27,3
ChIJjTwNLXpDwokRNNljZOIHqzQ,40.59426149999999,-73.9270602,33,3
ChIJmzE1Y6tZwokRQLY6pr6tTDk,40.7541609,-73.98878359999999,27,3
ChIJsy4N14pYwokRq-HApXG-tLo,40.7750292,-73.9802704,23,3
ChIJKXaKBL_zwokRZfVNB7ffN7Y,40.8858697,-73.9101203,18,3
ChIJQeEnLeRawokR-5ZtTwyVwRs,40.662874,-73.991771,22,3
ChIJDchewklewokR8HKo3c8eLWY,40.7321544,-73.8664752,25,3
ChIJTwQYKjRiwokRq9mOKq28JWM,40.7269625,-73.7139086,24,3
ChIJMWGqI-eJwokRgyDuj_4NEBY,40.7644545,-73.7263316,24,3
ChIJ7R4tgLtZwokRM8thlhlzE2o,40.7426,-73.9983977,15,3
ChIJfzFqxVFYwokRKyAbRK6Nhqw,40.7633605,-73.9939811,27,3
ChIJ-RI--4lZwokRiYan0AUhOEU,40.7182903,-74.00000039999999,27,3
ChIJJ8jP9kBZwokRfQdnH4EgVFk,40.72980159999999,-73.9562151,27,3
ChIJrZJgrUZfwokRnQ2sbm0GkWI,40.7699952,-73.918523,16,3
ChIJlZz_0alEwokRdoOPwPeZDGg,40.6227756,-73.9365059,28,3
ChIJHTUgTv1YwokRWmpZQ73rMB0,40.7541193,-73.97174559999999,32,3
ChIJSUxHwVZYwokRXFyQi9V71Xw,40.7621759,-73.987472,22,3
ChIJK-3lsh9hwokRZ_QTxehIQr8,40.71061539999999,-73.79281139999999,20,3
ChIJr3pjKSpZwokRoUoVCSYE5tg,40.747142,-73.941846,25,3
ChIJj2ZYEFpawokRWntytGZC1Ds,40.6834455,-73.9955272,24,3
ChIJrxO2pRZawokR0mbIe2S_4L4,40.7051667,-74.01133589999999,27,3
ChIJcxSw6PbzwokRxcgZLQADues,40.8681821,-73.9205453,19,3
ChIJXeLOsTZDwokRQ_l39cASWTQ,40.6199215,-73.907015,33,3
ChIJCfyBKqdYwokRqPKvcHfND2I,40.7804703,-73.9544785,19,3
ChIJjXg4UDP0wokR1Zhdo2BpZEo,40.8257252,-73.9194792,27,3
ChIJrY4KOzFawokRDCaABlBimbM,40.7026581,-73.99083060000001,15,3
